T,TM,Tm,H,VV,V,VM,PM2.5,nan
20.2,28.4,15.7,67.0,6.3,1.9,3.5,239.125,nan
21.3,28.0,16.8,68.0,6.9,0.9,3.5,365.2916666666667,nan
21.2,28.7,15.9,54.0,6.9,0.7,5.4,312.2083333333333,nan
22.3,27.0,18.6,71.0,6.3,3.5,5.4,121.33333333333331,nan
22.6,27.7,19.5,75.0,6.3,3.5,5.4,202.875,nan
22.3,30.3,16.0,56.0,6.0,1.3,3.5,260.1666666666667,nan
20.2,27.2,14.7,66.0,6.9,0.9,3.5,277.7083333333333,nan
20.4,28.9,14.5,65.0,6.8,1.3,3.5,284.1666666666667,nan
20.6,28.9,14.9,61.0,6.9,3.1,3.5,288.4166666666667,nan
20.8,27.3,15.6,70.0,6.0,3.5,5.4,166.91666666666666,nan
19.9,27.3,14.9,68.0,6.3,3.3,5.4,169.0,nan
20.6,27.4,16.0,65.0,6.3,3.9,7.6,186.04166666666663,nan
20.1,27.5,14.9,67.0,6.9,4.3,5.4,108.08333333333331,nan
20.3,26.4,16.0,70.0,6.3,3.1,3.5,255.875,nan
20.1,26.4,16.6,70.0,5.5,2.8,3.5,226.5217391304348,nan
21.2,28.4,15.0,67.0,6.9,2.4,5.4,239.1304347826087,nan
21.4,30.8,15.0,53.0,6.9,2.8,3.5,298.4583333333333,nan
20.7,29.3,15.5,65.0,6.9,5.9,13.0,264.9166666666667,nan
21.0,28.0,15.8,67.0,6.3,4.3,5.4,422.0869565217391,nan
22.0,30.6,15.6,57.0,6.9,5.0,5.4,323.1428571428572,nan
22.4,30.5,17.0,52.0,7.7,3.9,5.4,263.6,nan
22.1,29.5,16.3,59.0,6.9,3.3,5.4,376.9166666666667,nan
21.8,28.5,16.9,68.0,6.9,5.0,5.4,0.0,nan
20.9,28.1,17.0,66.0,6.9,3.5,5.4,0.0,nan
20.4,27.4,15.2,61.0,6.9,3.9,5.4,97.71428571428572,nan
22.0,29.5,16.9,58.0,6.9,3.9,5.4,202.91666666666663,nan
21.4,29.4,15.5,57.0,6.9,3.3,5.4,205.125,nan
21.0,27.7,16.4,61.0,6.9,3.7,7.6,214.125,nan
22.0,29.4,15.4,56.0,6.9,2.8,7.6,315.7916666666667,nan
22.2,29.8,17.0,65.0,6.9,4.8,7.6,322.25,nan
22.7,29.7,18.0,59.0,6.9,3.1,5.4,246.04166666666663,nan
23.0,31.4,15.7,48.0,6.9,1.9,3.5,209.65217391304347,nan
